date,motion,turnout,ayes,noes,abstentions,Speaker1,Speaker2,Speaker3,Speaker4,Speaker5,Speaker6,Speaker7,Speaker8,,searchable,,year,lent_turnout,easter_turnout,off-term_turnout,michaelmas_turnout,lent_count,easter_count,off-term_count,michaelmas_count
6/3/14,THBT Feminism is Fighting the Wrong Battles,365,63,225,77,Charlotte Vere,Lynne Segal,Liberty Barnes,Caroline Criado Perez,Alex Porter,Kitty Parker Brooks,,,,THBT Feminism is Fighting the Wrong Battles Charlotte Vere Lynne Segal Liberty Barnes Caroline Criado Perez Alex Porter Kitty Parker Brooks  ,,1995,482,656,0,2391,1,3,0,11
6/2/14,THW Boycott the Sochi Olympics,195,79,82,34,Chris Coltrane,Ian Braid,Tess Berry-Hart,Louise Englefield,Alex Hopkins,Veronica Lee,,,,THW Boycott the Sochi Olympics Chris Coltrane Ian Braid Tess Berry-Hart Louise Englefield Alex Hopkins Veronica Lee  ,,1996,1019,839,0,1775,9,6,0,6
3/13/14,THW Repeal the Human Rights Act,247,33,173,41,Martin Howe,Imogen Schon,Lord Edward Faulks,Fred Cowell,Jordan Anderson,Shami Chakrabarti,,,,THW Repeal the Human Rights Act Martin Howe Imogen Schon Lord Edward Faulks Fred Cowell Jordan Anderson Shami Chakrabarti  ,,1997,1571,490,0,1696,9,3,0,7
2/28/14,TH Welcomes a Future in Which YouTube is the Dominant Broadcast Medium,183,53,96,34,Jack Harries,Ben Cook,Emma Blackery,Finn Harries,Louise Pentland,Tomo Ridgewell,,,,TH Welcomes a Future in Which YouTube is the Dominant Broadcast Medium Jack Harries Ben Cook Emma Blackery Finn Harries Louise Pentland Tomo Ridgewell  ,,1998,988,267,0,2053,7,3,0,8
2/27/14,THW Abolish the Monarchy,205,67,105,33,Graham Smith,Rose Beale,Peter Kellow,Hugo Vickers,Kate Maltby,,,,,THW Abolish the Monarchy Graham Smith Rose Beale Peter Kellow Hugo Vickers Kate Maltby   ,,1999,845,343,0,1450,7,4,0,9
2/20/14,TH Regrets the Arab Spring,300,53,168,79,Philip Wood,Douglas Murray,Peter Hitchens,David Aaronovitch,Anser Aftab,Sara Khorshid,,,,TH Regrets the Arab Spring Philip Wood Douglas Murray Peter Hitchens David Aaronovitch Anser Aftab Sara Khorshid  ,,2000,1100,217,0,1901,8,3,0,9
2/13/14,THW Privatise the NHS,287,25,225,37,Emran Mian,Peter Carter,Helen Evans,Stephen Dorrell,Mark Littlewood,David Nicholson,,,,THW Privatise the NHS Emran Mian Peter Carter Helen Evans Stephen Dorrell Mark Littlewood David Nicholson  ,,2001,810,622,0,2686,7,5,0,9
1/30/14,THBT Tabloid Journalism is Toxic,183,108,39,36,Chris Bryant,George Jones,Marina Pepper,Jack Rivlin,Alice Udale Smith,Susie Boniface,,,,THBT Tabloid Journalism is Toxic Chris Bryant George Jones Marina Pepper Jack Rivlin Alice Udale Smith Susie Boniface  ,,2002,866,850,0,2480,7,5,0,7
1/23/14,THW Send Its Children to Private School,709,246,320,143,Barnaby Lenon,Fiona Millar,Katy Ricks,Archie Bland,Freddy Powell,James Westhead,,,,THW Send Its Children to Private School Barnaby Lenon Fiona Millar Katy Ricks Archie Bland Freddy Powell James Westhead  ,,2003,2092,763,0,3113,9,5,0,8
1/16/14,THW Legalise Assisted Dying,328,207,67,54,John Harris,Brian Iddon,Colin Brewer,Madeleine Teahan,Michael Irwin,Robert Preston,,,,THW Legalise Assisted Dying John Harris Brian Iddon Colin Brewer Madeleine Teahan Michael Irwin Robert Preston  ,,2004,2163,588,0,2982,9,3,0,8
11/28/13,TH Supports Freer Immigration,261,142,48,71,Don Flynn,David Goodhart,Jonathan Portes,Jonathan Green,Kenan Malik,Mark Harper,,,,TH Supports Freer Immigration Don Flynn David Goodhart Jonathan Portes Jonathan Green Kenan Malik Mark Harper  ,,2005,1917,392,0,2975,9,4,0,10
11/14/13,THBT the City is a Force for Good,248,87,96,65,Nicola Horlick,Tobias Haefele,David Wootton,Adam Booth,Paul Marshall,John Mann,,,,THBT the City is a Force for Good Nicola Horlick Tobias Haefele David Wootton Adam Booth Paul Marshall John Mann  ,,2006,2390,976,0,3761,9,5,0,11
11/7/13,THW Retroactively Revoke Obama's Nobel Peace Prize,370,101,169,100,Brendan Clifford,Tobias Ellwood,Chris Nineham,Thomas Simpson,Craig Murray,Christopher Meyer,,,,THW Retroactively Revoke Obama's Nobel Peace Prize Brendan Clifford Tobias Ellwood Chris Nineham Thomas Simpson Craig Murray Christopher Meyer  ,,2007,2657,758,0,2442,8,3,0,10
10/31/13,THW Leave the European Union,560,81,447,32,Bill Cash,Keith Vaz,Diane James,Petros Stratopoulos,Sachin Parathalingan,Axelle Lemaire,Bernard Jenkin,Peter Wildin,,THW Leave the European Union Bill Cash Keith Vaz Diane James Petros Stratopoulos Sachin Parathalingan Axelle Lemaire Bernard Jenkin Peter Wildin,,2008,1451,1278,0,2782,9,6,0,8
