Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
1,0.813663921,0.931201244,0.026447191,0.280310232
2,0.638350144,0.616566582,0.063226412,0.181480192
3,0.836373623,3.01E-06,0.026447191,0.106698794
4,0.422474528,0.240456498,0.026447191,0.36507817
5,0.129835299,0.557718284,0.539090118,0.257635797
6,0.499686736,0.605943293,0.093830755,0.280507892
7,0.632285791,0.032804588,0.05419377,0.104100976
8,0.411879096,0.02457744,0.109824934,0.109136602
9,0.10507256,0.24971952,0.281710016,0.596782847
10,0.058425663,0.27094774,0.459176413,0.54521239
11,0.045668566,0.125367048,0.421436479,0.385493633
12,0.318611342,0.170440691,0.048098702,0.439925454
13,0.179560942,0.160143518,0.120686698,0.425223309
14,0.040469634,0.135474052,0.46011141,0.433619156
15,0.02409954,0.010471057,0.180991351,0.854785727
16,0.056720659,0.020566307,0.094860097,0.81754092
17,0.005605917,0.00778028,0.274320669,0.833645511
18,0.116592097,0.582133859,0.591781724,0.247065689
19,0.496638974,0.607334194,0.094857419,0.238933389
20,0.097329021,0.571449432,0.697546914,0.244872603
21,0.048986634,0.291259278,0.514744832,0.589149403
22,0.191458087,0.125986375,0.110571043,0.433863878
23,0.051254306,0.131069536,0.393096444,0.3381211
24,0.015002039,0.002497036,0.217292784,0.787986032
25,0.057538119,0.008261871,0.093603989,0.806349595
26,0.014980509,0.01321492,0.222623442,0.776785294
27,0.124689215,0.535910628,0.537412602,0.191692629
28,0.493801903,0.582466941,0.092427282,0.178581177
29,0.116740145,0.543392544,0.578961066,0.278305394
30,0.781965886,0.008691294,0.026447191,0.11236505
31,0.417813207,0.01456287,0.103571942,0.05478008
32,0.68632848,4.08E-05,0.039643675,0.099780691
33,0.416800404,0.003323157,0.104316991,0.130483891
34,0.289695436,0.329307816,0.060970616,0.493227789
35,0.105443629,0.240299132,0.267990404,0.519328332
36,0.088917339,0.207290183,0.318580067,0.549683273
37,0.391363006,0.203501982,0.026447191,0.456594787
38,0.195414954,0.144044209,0.104349079,0.401711172
39,0.036328181,0.115370155,0.455998947,0.441318487
40,0.316030174,0.158438769,0.047021419,0.3248214
41,0.18045785,0.19967051,0.115725647,0.291021526
42,0.0298143,0.098374229,0.512174107,0.468228495
43,0.059146655,0.01656394,0.086802818,0.813681843
44,0.012106091,0.008765488,0.219030645,0.813681843
