Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
1,5.65E+10,4.26E+09,0.32266,0
2,4.60E+10,2.82E+09,0.25055,86606
3,4.18E+10,2.64E+09,0.33574,1.32E+05
4,1.65E+10,2.52E+09,0.32663,1.22E+06
5,4.40E+10,2.43E+09,0.31233,1.08E+05
6,3.96E+10,3.10E+09,0.31641,1.63E+05
7,1.44E+10,2.74E+09,0.3184,1.61E+06
8,5.65E+10,1.23E+06,0.1726,0
9,4.92E+10,7.34E+06,0.23361,55726
10,4.44E+10,48297,0.2076,1.02E+05
11,1.90E+10,47933,0.18841,9.31E+05
12,4.83E+10,49280,0.16567,63578
13,4.33E+10,1.83E+05,0.1862,1.14E+05
14,1.64E+10,2.48E+06,0.19646,1.26E+06
15,5.79E+10,50774,0.19598,0
16,5.27E+10,1.92E+06,0.17646,27634
17,3.50E+10,3.73E+07,0.19959,1.87E+05
18,1.50E+10,2.81E+05,0.20525,1.14E+06
19,5.19E+10,1.57E+07,0.19555,31835
20,3.38E+10,6.50E+06,0.17555,2.06E+05
21,1.43E+10,61199,0.17378,1.27E+06
22,5.65E+10,1.13E+07,0.20543,0
23,4.93E+10,2.94E+07,0.17817,55521
24,4.38E+10,49117,0.19481,1.09E+05
25,1.86E+10,43263,0.19332,9.69E+05
26,4.82E+10,5.96E+07,0.17774,64277
27,4.35E+10,45057,0.20563,1.13E+05
28,1.75E+10,1.16E+07,0.20878,1.10E+06
29,3.24E+10,1.24E+09,0.4962,0
30,2.85E+10,9.92E+08,0.49322,54083
31,2.67E+10,1.21E+09,0.48486,85887
32,1.46E+10,1.05E+09,0.50907,6.38E+05
33,2.59E+10,1.09E+09,0.5051,1.01E+05
34,2.43E+10,9.26E+08,0.56793,1.37E+05
35,1.24E+10,8.96E+08,0.54691,9.59E+05
36,3.24E+10,5.64E+08,0.41091,0
37,2.68E+10,4.12E+08,0.40995,85202
38,2.47E+10,4.43E+08,0.43442,1.27E+05
39,1.17E+10,6.28E+08,0.4375,1.07E+06
40,2.57E+10,5.19E+08,0.45197,1.06E+05
41,2.42E+10,2.78E+08,0.41731,1.40E+05
42,1.08E+10,4.23E+08,0.45791,1.32E+06
43,3.31E+10,1.10E+09,0.38452,0
44,2.91E+10,5.06E+08,0.34947,41883
45,2.04E+10,7.23E+08,0.3874,2.00E+05
46,1.10E+10,4.33E+08,0.41245,9.81E+05
47,2.84E+10,6.23E+08,0.37361,50066
48,2.05E+10,7.57E+08,0.3701,1.99E+05
49,1.02E+10,6.28E+08,0.40965,1.20E+06
50,3.24E+10,8.00E+08,0.40937,0
51,2.68E+10,5.54E+08,0.40139,84879
52,2.47E+10,5.00E+08,0.37625,1.27E+05
53,1.28E+10,3.92E+08,0.44751,8.65E+05
54,2.56E+10,3.94E+08,0.43654,1.08E+05
55,2.41E+10,4.53E+08,0.3688,1.42E+05
56,1.06E+10,5.28E+08,0.40345,1.37E+06
57,1.62E+10,1.31E+08,0.7234,0
58,1.49E+10,1.34E+08,0.73196,42414
59,1.45E+10,1.90E+08,0.70306,56586
60,1.07E+10,8.97E+07,0.76821,3.33E+05
61,1.44E+10,7.98E+07,0.73893,60721
62,1.41E+10,1.28E+08,0.78092,74674
63,1.05E+10,1.27E+08,0.7723,3.57E+05
64,1.62E+10,1.10E+08,0.69322,0
65,1.49E+10,1.18E+08,0.70942,42309
66,1.44E+10,7.53E+07,0.70284,59883
67,1.04E+10,4.22E+07,0.73242,3.66E+05
68,1.41E+10,3.02E+07,0.68928,73805
69,1.38E+10,2.48E+07,0.73182,89581
70,9.57E+09,2.74E+07,0.72539,5.05E+05
71,1.66E+10,6.69E+06,0.72027,0
72,1.57E+10,5.80E+07,0.66749,21324
73,1.26E+10,7.71E+07,0.6822,1.25E+05
74,9.88E+09,1.05E+07,0.70658,3.57E+05
75,1.51E+10,1.48E+08,0.66816,37278
76,1.23E+10,7.80E+07,0.66829,1.41E+05
77,8.81E+09,1.20E+08,0.71286,5.47E+05
78,1.62E+10,5.32E+06,0.71,0
79,1.49E+10,5.71E+07,0.7363,42153
80,1.44E+10,6.41E+07,0.72317,63478
81,1.08E+10,5.13E+07,0.69207,3.18E+05
82,1.41E+10,6.86E+07,0.70101,75678
83,1.37E+10,7.50E+07,0.70312,90781
84,1.08E+10,4.45E+07,0.72692,3.26E+05
85,5.38E+10,4.14E+09,0.25733,0
86,4.38E+10,2.86E+09,0.268,84454
87,3.91E+10,2.33E+09,0.30247,1.39E+05
88,1.56E+10,2.55E+09,0.30612,1.21E+06
89,4.17E+10,2.99E+09,0.22565,1.08E+05
90,3.77E+10,2.77E+09,0.32281,1.59E+05
91,1.44E+10,2.76E+09,0.28202,1.43E+06
92,5.39E+10,6.93E+05,0.19976,0
93,4.69E+10,46341,0.20918,53921
94,4.20E+10,2.57E+07,0.20389,1.03E+05
95,1.87E+10,3.98E+05,0.20904,8.63E+05
96,4.57E+10,1.50E+08,0.19409,65336
97,4.14E+10,1.11E+07,0.18236,1.10E+05
98,1.74E+10,4.11E+07,0.2138,9.99E+05
99,5.52E+10,5.14E+07,0.17906,0
100,5.00E+10,1.00E+08,0.20646,28502
101,3.26E+10,58919,0.20348,1.94E+05
102,1.44E+10,2.76E+05,0.18309,1.10E+06
103,4.94E+10,1.20E+05,0.20093,31860
