year,lent_turnout,easter_turnout,off-term_turnout,michaelmas_turnout,lent_count,easter_count,off-term_count,michaelmas_count
1995,482,656,0,2391,1,3,0,11
1996,1019,839,0,1775,9,6,0,6
1997,1571,490,0,1696,9,3,0,7
1998,988,267,0,2053,7,3,0,8
1999,845,343,0,1450,7,4,0,9
2000,1100,217,0,1901,8,3,0,9
2001,810,622,0,2686,7,5,0,9
2002,866,850,0,2480,7,5,0,7
2003,2092,763,0,3113,9,5,0,8
2004,2163,588,0,2982,9,3,0,8
2005,1917,392,0,2975,9,4,0,10
2006,2390,976,0,3761,9,5,0,11
2007,2657,758,0,2442,8,3,0,10
2008,1451,1278,0,2782,9,6,0,8
2009,1278,922,841,3502,5,4,2,10
2010,1606,1957,400,3029,4,6,1,9
2011,3455,1270,0,3607,9,5,0,10
2012,1702,1120,607,1808,5,4,2,5
2013,3170,773,713,2910,9,4,2,8
2014,2442,560,0,0,8,2,0,0
